Year 9,Year 10,Year 11,Year 12
72.49382716049382,71.89749798224375,72.37490007993605,72.6750972762646
72.3219696969697,72.43776824034335,71.00829875518673,70.60471204188482
68.47780373831776,68.33158584534732,68.81100141043724,69.32528180354268
69.02160864345738,69.38700564971751,69.24886191198786,68.61781076066791
72.78973105134475,71.0935960591133,71.69252077562327,71.46917808219177
68.58683068017366,68.86715566422168,69.15441176470588,68.98507462686567
70.54330708661418,75.10526315789474,71.64077669902913,73.40963855421687
69.08175355450237,68.53324641460235,69.43134535367545,68.63931623931624
69.46928571428572,67.99022004889976,68.63772954924875,69.28739316239316
71.99636363636364,72.396,72.5234375,71.1878453038674
71.94072164948453,71.7798076923077,72.36481113320079,72.15462610899873
72.93207547169811,72.50669642857143,70.09708737864078,72.33153638814017
69.23427331887201,70.05700712589073,69.6578313253012,69.3698224852071
69.21236133122028,69.45544554455445,68.37896494156928,69.78747203579418
71.74117647058823,72.17901234567901,73.27586206896552,70.84823848238483
